tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reentries,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reentries,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
15.0,6.0,755.096000000008,0.5858114147837922,0.613564668769716,3,191.85999999999967,0.5091889568794392,0.6204819277108434,0,56,0.09440196356084221,0.04987475893866513,1406.8530000000105,0.494049895846526,0.6083445491251682,4,1730.5299999999997,0.4869437754611697,0.6416938110749185,4,195,0.17032631683533708,0.19573165190523795,0.12102333333333193,0.3539920370375935,0.8217135126944295,1.0861572215591964
15.0,8.0,660.941000000005,0.4895046681919904,0.6277602523659306,3,615.8959999999997,0.3700820432332179,0.6666666666666666,3,195,0.09968499541449026,0.04989350854270417,199.291999999999,0.3778832196538139,0.5374449339207048,1,1305.2779999999993,0.45843331957621525,0.6579804560260586,4,195,0.19770709200052408,0.19770709200052408,0.08767666666666618,0.2135009485049193,0.9629768997067911,0.6792936375402372
15.0,10.0,573.4340000000029,0.4380647885402196,0.638801261829653,3,1005.9019999999991,0.3177868040143482,0.6904761904761905,4,195,0.09877738294262774,0.049881406954964624,199.128999999999,0.3920504851286268,0.5346938775510204,1,2893.2229999999963,0.5369109973494564,0.6775244299674267,4,195,0.19860689674861934,0.19992552774091663,0.3423766666666672,0.6361378947290031,1.37097772934644,0.8519910409717453
15.0,12.0,659.661000000003,0.37799846348044625,0.6429699842022117,3,508.04100000000017,0.4084464897722832,0.6945010183299389,2,182,0.09477752161519848,0.049788296016313946,199.24499999999898,0.39475634724391034,0.5384615384615384,1,1656.3869999999974,0.5109952696368107,0.6791530944625407,4,195,0.1757494340319012,0.19880616895542244,0.2805500000000014,0.39198781773456615,0.6631734651324952,0.8623917372302521
15.0,15.0,190.6789999999994,0.40250368188512725,0.6235632183908046,1,570.2340000000004,0.39896574898448295,0.7075664621676891,3,180,0.09908118712472995,0.04998050760203517,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1430.1159999999982,0.5765480434992976,0.6889250814332247,4,195,0.1997443272611057,0.1997443272611057,0.332550000000001,0.4653133716058171,0.39491721308816485,0.7501994820808813
15.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,868.8359999999996,0.45410626230916185,0.7611241217798594,3,118,0.09935459256668686,0.04988551274824281,198.02099999999905,0.3847700122722276,0.5360824742268041,0,2282.315999999996,0.6120456983515508,0.7123287671232876,4,165,0.1916081121400168,0.1975373024503516,0.6999566666666686,0.5478492589026756,0.8448788484170506,0.5671845945522829
20.0,6.0,1162.8060000000135,0.5855852297321074,0.613564668769716,3,195.538,0.5281680794743537,0.6167664670658682,0,56,0.09651973949322305,0.04972705372731883,1954.5450000000187,0.5253507355187896,0.6083445491251682,4,2368.361,0.5053593484137869,0.6368078175895765,4,195,0.19803156623165694,0.19855682282609238,0.13244333333333325,0.3327024457441632,0.891411179800462,1.7656105310727606
20.0,8.0,718.7430000000054,0.5044746675586295,0.6261829652996845,3,624.1060000000011,0.4415112983547046,0.6587301587301587,3,195,0.09996326350066341,0.04999172012135481,195.38799999999856,0.3900700806942561,0.5328185328185329,1,1569.2230000000006,0.48479412458402255,0.6514657980456026,4,195,0.18598221080153665,0.19860217171474748,0.08096333333333328,0.26305548445985205,0.7876756308060375,1.1430943851804698
20.0,10.0,566.6390000000033,0.430844813184012,0.637223974763407,3,939.6770000000008,0.34657486938920445,0.6805555555555556,4,195,0.09966773269612422,0.04969544971897216,194.7709999999986,0.4053556490465378,0.5328185328185329,1,2872.797999999999,0.5674510454837574,0.6693811074918566,4,195,0.19766791395120392,0.1992935947944514,0.37462666666666866,0.690478384434078,0.809981739495901,1.2767495272618925
20.0,12.0,512.364000000003,0.38516228050376844,0.6419558359621451,3,670.140000000001,0.41096291476902974,0.6845238095238095,4,195,0.09946784701845103,0.04990372739257172,198.88099999999895,0.3958620647756087,0.5378486055776892,1,2040.450999999999,0.5593197968324999,0.6726384364820847,4,195,0.1679876445087466,0.19944230944222233,0.2757033333333363,0.6083990269420001,0.4888279138074394,1.2264703732114444
20.0,15.0,190.6789999999994,0.40250368188512725,0.6235632183908046,1,869.342000000001,0.4232493537392113,0.6984126984126984,4,195,0.09852192482284516,0.049949717284599994,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1643.2789999999993,0.5945626962101708,0.6840390879478827,4,195,0.1972688132801363,0.19912402024759424,0.37112333333333636,0.5205172401218463,0.321105772689841,0.9887701369634236
20.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,769.991999999999,0.4823947976658797,0.7517564402810304,3,118,0.0997516184700098,0.04999900001999961,198.02099999999905,0.3847700122722276,0.5360824742268041,0,2720.6949999999956,0.5982704380011293,0.7054794520547946,4,165,0.18783185024434967,0.1995771459220787,0.7027333333333361,0.5858736932774729,0.8105199877545324,0.8549834832736212
